averagerank.wholebrain,finalrank.wholebrain,finalrank.wholebrain.zscore,averagerank.hemisphere,finalrank.hemisphere
40030.1,48488,1.09507299792783,19799.6,23877.5
17157.05,8333,-1.24620199245057,8526.75,4089
26823.95,23240,-0.377035356127056,13340.65,11580
42391.7,53440,1.3838040090685,21093.6,26598
14142.35,4496,-1.4699218813332,7078.65,2231
34943.5,38332,0.502917878956765,17468.2,19188
43502,55508.5,1.50440984439655,21549.5,27424.5
15006.7,5709,-1.39919677702915,7494.25,2800
45093,57576,1.62495737378535,22567.85,28761
19594.75,11552,-1.05851517402128,9823.95,5797
34661.65,37696,0.465835301597017,17109.5,18344
40055.55,48533,1.09769676519385,19798.95,23875
40651,49786,1.17075410706769,20090.8,24451
39787,48021,1.06784412430047,19687.2,23660
35973.25,40466,0.627342753305351,17788.65,19883
32013.7,32284,0.150283558403694,15774.3,15556
29188.3,27290,-0.140896302185267,14397.9,13217
26617.9,22908,-0.396392927956358,13070.9,11183
25611.6,21263,-0.492306198014195,12752.5,10676
27181.8,23821,-0.343159605425777,13371,11630.5
39962.65,48363,1.08778475552222,19760.45,23806
40833.85,50191,1.19436801246187,20179.35,24669
40732.3,49968,1.18136578801026,20111,24497
42319.05,53315,1.37651576666289,21078.35,26569
41519.25,51678,1.28106894411901,20700.8,25825
39856.6,48155,1.07565712015928,19846.85,23958
36873.55,42356,0.737540978478186,18144.7,20708
37859.6,44269,0.849080240253653,18820.15,21974
37874.7,44296,0.850654500613265,18816.35,21967
36585.8,41775,0.703665227776907,18137.95,20696
33847.1,35919,0.362225647558855,16687.35,17401
33340,34880.5,0.30167492965304,16425.35,16816
33152,34490,0.278906460377912,16405.95,16774
35250.6,38973.5,0.540321138982359,17465.45,19179
34834.85,38088,0.488691229781012,17265.5,18689
33835.85,35890.5,0.360563928290375,16780.7,17597
33633.9,35458,0.335346609566962,16608.25,17226
33452.85,35099.5,0.31444393034767,16638.2,17295
33361.45,34926,0.304327849888683,16623,17263
30582.75,29729,0.00131188363300994,15196.9,14534
26877.8,23320,-0.372370880987465,13380.65,11644
27088.55,23686.5,-0.351001754254214,13497.1,11821
31034.6,30511,0.0469071281225108,15401.65,14894
