averagerank.wholebrain,finalrank.wholebrain,averagerank.hemisphere,finalrank.hemisphere,label
151.1,109.5,75.8,55.5,lh_17Networks_LH_VisCent_ExStr_1
105,53.5,52.2,26,lh_17Networks_LH_VisCent_ExStr_2
112.6,64,56.7,32,lh_17Networks_LH_VisCent_ExStr_3
84.3,24,41.7,12,lh_17Networks_LH_VisCent_ExStr_4
109.8,60,54.2,29,lh_17Networks_LH_VisCent_ExStr_5
141.5,94,71.7,49,lh_17Networks_LH_VisCent_ExStr_6
73.2,8,37,3,lh_17Networks_LH_VisCent_Striate_1
140.5,91.5,71.2,48,lh_17Networks_LH_VisCent_ExStr_7
127.2,76.5,63.4,37,lh_17Networks_LH_VisCent_ExStr_8
167.1,139,84.6,73,lh_17Networks_LH_VisCent_ExStr_9
74,9,37.9,4,lh_17Networks_LH_VisCent_ExStr_10
135,87,68.3,44,lh_17Networks_LH_VisCent_ExStr_11
127.1,75,64.4,39,lh_17Networks_LH_VisPeri_ExStrInf_1
85.5,28,43.4,16,lh_17Networks_LH_VisPeri_ExStrInf_2
83.6,22,42,13,lh_17Networks_LH_VisPeri_ExStrInf_3
123.9,73,61.3,34.5,lh_17Networks_LH_VisPeri_ExStrInf_4
100.1,44,50.6,25,lh_17Networks_LH_VisPeri_ExStrInf_5
63.4,3,31.7,2,lh_17Networks_LH_VisPeri_StriCal_1
57.9,1,28.7,1,lh_17Networks_LH_VisPeri_StriCal_2
76.8,12,38.1,5,lh_17Networks_LH_VisPeri_ExStrSup_1
78.6,16,39.1,8.5,lh_17Networks_LH_VisPeri_ExStrSup_2
87.5,29.5,43.6,17,lh_17Networks_LH_VisPeri_ExStrSup_3
92.2,36,46.4,19,lh_17Networks_LH_VisPeri_ExStrSup_4
108.1,58,54.6,30,lh_17Networks_LH_VisPeri_ExStrSup_5
137.1,88,68.8,45,lh_17Networks_LH_SomMotA_1
96,38,48.6,20,lh_17Networks_LH_SomMotA_2
79.9,17,39.7,10,lh_17Networks_LH_SomMotA_3
119.6,68,61.3,34.5,lh_17Networks_LH_SomMotA_4
77.3,14,39,7,lh_17Networks_LH_SomMotA_5
105.3,55,53.3,28,lh_17Networks_LH_SomMotA_6
99.6,42,50,22,lh_17Networks_LH_SomMotA_7
157,118.5,78.4,59,lh_17Networks_LH_SomMotA_8
90.3,34,45.6,18,lh_17Networks_LH_SomMotA_9
76.9,13,38.5,6,lh_17Networks_LH_SomMotA_10
104.5,51,52.4,27,lh_17Networks_LH_SomMotA_11
140.5,91.5,70.9,46,lh_17Networks_LH_SomMotA_12
80.1,18,41.2,11,lh_17Networks_LH_SomMotA_13
101.4,47,50.4,23.5,lh_17Networks_LH_SomMotA_14
82.4,19,42.6,14,lh_17Networks_LH_SomMotA_15
117.7,66,59,33,lh_17Networks_LH_SomMotA_16
76.3,11,39.1,8.5,lh_17Networks_LH_SomMotA_17
98,39,49.1,21,lh_17Networks_LH_SomMotA_18
85.3,27,43.2,15,lh_17Networks_LH_SomMotA_19
199.8,189,100.8,97,lh_17Networks_LH_SomMotB_Aud_1
147.3,100,74.7,53,lh_17Networks_LH_SomMotB_Aud_2
191.5,177,96.4,90,lh_17Networks_LH_SomMotB_Ins_1
185.3,170,92.3,87,lh_17Networks_LH_SomMotB_S2_1
131.6,82,66.5,41,lh_17Networks_LH_SomMotB_S2_2
186.2,172,94.2,89,lh_17Networks_LH_SomMotB_Aud_3
160.8,127,81.4,66,lh_17Networks_LH_SomMotB_Aud_4
122.3,70,61.5,36,lh_17Networks_LH_SomMotB_S2_3
176.5,154,88.6,79.5,lh_17Networks_LH_SomMotB_S2_4
149.5,107,75.8,55.5,lh_17Networks_LH_SomMotB_S2_5
173.5,148,87.7,78,lh_17Networks_LH_SomMotB_S2_6
128.5,78,66,40,lh_17Networks_LH_SomMotB_Cent_1
132,84,67.9,43,lh_17Networks_LH_SomMotB_Cent_2
99.5,41,50.4,23.5,lh_17Networks_LH_SomMotB_Cent_3
153.1,112,77.4,57,lh_17Networks_LH_SomMotB_Cent_4
109.5,59,56.1,31,lh_17Networks_LH_SomMotB_Cent_5
233.8,250,116.3,122,lh_17Networks_LH_DorsAttnA_TempOcc_1
196.1,182,97,92,lh_17Networks_LH_DorsAttnA_TempOcc_2
238.7,262,117.7,125.5,lh_17Networks_LH_DorsAttnA_TempOcc_3
165.4,135,83.9,71,lh_17Networks_LH_DorsAttnA_TempOcc_4
157.9,121,79.6,61,lh_17Networks_LH_DorsAttnA_ParOcc_1
166.2,136,82.5,69,lh_17Networks_LH_DorsAttnA_ParOcc_2
140.7,93,71.1,47,lh_17Networks_LH_DorsAttnA_SPL_1
131.5,81,64.3,38,lh_17Networks_LH_DorsAttnA_SPL_2
175.7,153,87.5,76,lh_17Networks_LH_DorsAttnA_SPL_3
192.2,179,96.5,91,lh_17Networks_LH_DorsAttnA_SPL_4
181.5,162,91.3,84,lh_17Networks_LH_DorsAttnA_SPL_5
149.1,106,73.6,50,lh_17Networks_LH_DorsAttnA_SPL_6
161.5,129.5,80.9,64,lh_17Networks_LH_DorsAttnA_SPL_7
216.8,218,110.6,110,lh_17Networks_LH_DorsAttnB_PostC_1
163.9,131,81.6,67,lh_17Networks_LH_DorsAttnB_PostC_2
224.7,235.5,112.5,114.5,lh_17Networks_LH_DorsAttnB_PostC_3
149.8,108,74.8,54,lh_17Networks_LH_DorsAttnB_PostC_4
159.3,124,80.7,63,lh_17Networks_LH_DorsAttnB_PostC_5
133,86,66.8,42,lh_17Networks_LH_DorsAttnB_PostC_6
166.5,137,83.6,70,lh_17Networks_LH_DorsAttnB_PostC_7
152.9,111,77.9,58,lh_17Networks_LH_DorsAttnB_PostC_8
148.2,104.5,74.4,51.5,lh_17Networks_LH_DorsAttnB_PostC_9
184,167,92.1,86,lh_17Networks_LH_DorsAttnB_FEF_1
224.5,234,112.5,114.5,lh_17Networks_LH_DorsAttnB_FEF_2
200.9,192,100.9,98,lh_17Networks_LH_DorsAttnB_FEF_3
232.2,247,116.1,120,lh_17Networks_LH_DorsAttnB_PrCv_1
198.1,185,100.3,96,lh_17Networks_LH_SalVentAttnA_ParOper_1
238.1,261,118.1,127.5,lh_17Networks_LH_SalVentAttnA_ParOper_2
264.5,309,133.1,155,lh_17Networks_LH_SalVentAttnA_ParOper_3
219.6,225,110.2,107,lh_17Networks_LH_SalVentAttnA_Ins_1
258.5,298,130.6,151,lh_17Networks_LH_SalVentAttnA_Ins_2
228.1,241.5,113.2,116,lh_17Networks_LH_SalVentAttnA_Ins_3
222.2,230,111.3,112,lh_17Networks_LH_SalVentAttnA_Ins_4
180.8,160,90.1,83,lh_17Networks_LH_SalVentAttnA_FrOper_1
239.6,264,119.5,132.5,lh_17Networks_LH_SalVentAttnA_FrOper_2
173.1,147,86.7,75,lh_17Networks_LH_SalVentAttnA_ParMed_1
180,158,90,82,lh_17Networks_LH_SalVentAttnA_ParMed_2
159,123,79.3,60,lh_17Networks_LH_SalVentAttnA_ParMed_3
212.1,207,106.9,103,lh_17Networks_LH_SalVentAttnA_FrMed_1
234.5,252,116.2,121,lh_17Networks_LH_SalVentAttnA_FrMed_2
170.8,144,85.1,74,lh_17Networks_LH_SalVentAttnA_FrMed_3
291.1,356,145.1,179.5,lh_17Networks_LH_SalVentAttnB_PFCl_1
282.6,341.5,141.8,170,lh_17Networks_LH_SalVentAttnB_PFCl_2
301.4,381,150.9,188,lh_17Networks_LH_SalVentAttnB_PFCl_3
272.4,319,136.1,161,lh_17Networks_LH_SalVentAttnB_Ins_1
274.1,325,135.4,157,lh_17Networks_LH_SalVentAttnB_Ins_2
236.9,256.5,118.5,130,lh_17Networks_LH_SalVentAttnB_Ins_3
286.1,348.5,142.5,174,lh_17Networks_LH_SalVentAttnB_OFC_1
243.8,277.5,122.2,140,lh_17Networks_LH_SalVentAttnB_PFCmp_1
242.2,273,121.5,137.5,lh_17Networks_LH_LimbicB_OFC_1
257.2,295,127.1,145,lh_17Networks_LH_LimbicB_OFC_2
264.3,308,131.5,152.5,lh_17Networks_LH_LimbicB_OFC_3
238,260,118.7,131,lh_17Networks_LH_LimbicB_OFC_4
282.6,341.5,141.1,168,lh_17Networks_LH_LimbicB_OFC_5
242.7,275,120.8,135,lh_17Networks_LH_LimbicA_TempPole_1
236.9,256.5,118.1,127.5,lh_17Networks_LH_LimbicA_TempPole_2
233.7,249,116.9,124,lh_17Networks_LH_LimbicA_TempPole_3
260.3,300,130,150,lh_17Networks_LH_LimbicA_TempPole_4
234.2,251,118.4,129,lh_17Networks_LH_LimbicA_TempPole_5
241.7,270,119.5,132.5,lh_17Networks_LH_LimbicA_TempPole_6
217,219,109.8,106,lh_17Networks_LH_LimbicA_TempPole_7
241.4,269,120.9,136,lh_17Networks_LH_ContA_Temp_1
205,198,102.2,99,lh_17Networks_LH_ContA_IPS_1
277.9,330,139.5,165,lh_17Networks_LH_ContA_IPS_2
232.8,248,116.7,123,lh_17Networks_LH_ContA_IPS_3
217.5,221,109.7,105,lh_17Networks_LH_ContA_IPS_4
192.6,180,97.1,93,lh_17Networks_LH_ContA_IPS_5
219.6,225,110.4,109,lh_17Networks_LH_ContA_PFCd_1
275,327,137.3,162,lh_17Networks_LH_ContA_PFClv_1
284.7,345,142.3,173,lh_17Networks_LH_ContA_PFClv_2
230.9,245,115.9,119,lh_17Networks_LH_ContA_PFCl_1
255,292.5,127,144,lh_17Networks_LH_ContA_PFCl_2
268.1,313,134.3,156,lh_17Networks_LH_ContA_PFCl_3
175,151,87.6,77,lh_17Networks_LH_ContA_Cingm_1
305.4,384,151.6,189,lh_17Networks_LH_ContB_Temp_1
323.1,397,161.8,199,lh_17Networks_LH_ContB_Temp_2
286.1,348.5,142.1,172,lh_17Networks_LH_ContB_IPL_1
278,331,138.5,163,lh_17Networks_LH_ContB_IPL_2
219.3,222.5,110.3,108,lh_17Networks_LH_ContB_IPL_3
296.8,372,147.3,184,lh_17Networks_LH_ContB_PFCd_1
306.4,385,152.3,191,lh_17Networks_LH_ContB_PFClv_1
314.8,392,156.2,194,lh_17Networks_LH_ContB_PFClv_2
286.3,350,143.2,176,lh_17Networks_LH_ContB_PFClv_3
290.7,355,145.1,179.5,lh_17Networks_LH_ContB_PFCmp_1
184.5,168,91.6,85,lh_17Networks_LH_ContC_pCun_1
164.1,132,81.9,68,lh_17Networks_LH_ContC_pCun_2
170.5,143,84.4,72,lh_17Networks_LH_ContC_pCun_3
189.1,175.5,93.9,88,lh_17Networks_LH_ContC_Cingp_1
160.9,128,80.4,62,lh_17Networks_LH_ContC_Cingp_2
260.5,302.5,129.9,149,lh_17Networks_LH_DefaultA_IPL_1
249,286,123,142,lh_17Networks_LH_DefaultA_IPL_2
296.5,369.5,147.8,185.5,lh_17Networks_LH_DefaultA_PFCd_1
313.1,391,156.6,195,lh_17Networks_LH_DefaultA_PFCd_2
281.8,339.5,139.8,166,lh_17Networks_LH_DefaultA_PFCd_3
242.4,274,121.5,137.5,lh_17Networks_LH_DefaultA_pCunPCC_1
241.3,267.5,120.5,134,lh_17Networks_LH_DefaultA_pCunPCC_2
261.2,304,129.8,148,lh_17Networks_LH_DefaultA_pCunPCC_3
281.8,339.5,138.9,164,lh_17Networks_LH_DefaultA_pCunPCC_4
